Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P%,0-3%,3-10%,10-16%,16-3pt%,3P%,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2003-04,19,DEN,NBA,SF,82,2995,0.426,10.3,0.854,0.452,0.065,0.06,0.277,0.146,0.444,0.541,0.232,0.341,0.357,0.322,0.528,0.087,121,0.768,0.079,0.353,0,0
2004-05,20,DEN,NBA,SF,75,2608,0.431,10.5,0.872,0.433,0.067,0.067,0.305,0.128,0.455,0.564,0.256,0.349,0.368,0.266,0.623,0.079,90,0.762,0.12,0.105,5,0
2005-06,21,DEN,NBA,SF,80,2941,0.481,10.5,0.903,0.429,0.059,0.077,0.339,0.097,0.506,0.62,0.315,0.364,0.428,0.243,0.613,0.109,165,0.919,0.151,0.261,5,0
2006-07,22,DEN,NBA,SF,65,2486,0.476,10,0.897,0.422,0.081,0.114,0.281,0.103,0.499,0.641,0.407,0.333,0.38,0.268,0.584,0.115,157,0.875,0.121,0.333,2,0
2007-08,23,DEN,NBA,SF,77,2806,0.492,10.9,0.889,0.375,0.084,0.146,0.285,0.111,0.509,0.65,0.323,0.366,0.45,0.354,0.554,0.088,123,0.966,0.098,0.375,8,0
2008-09,24,DEN,NBA,SF,66,2277,0.443,11.5,0.859,0.351,0.084,0.132,0.292,0.141,0.455,0.568,0.386,0.314,0.402,0.371,0.428,0.057,64,0.873,0.176,0.433,3,0
2009-10,25,DEN,NBA,SF,69,2634,0.458,11.1,0.875,0.362,0.099,0.125,0.291,0.125,0.478,0.595,0.324,0.444,0.4,0.316,0.375,0.041,57,0.847,0.107,0.3,0,0
2010-11,26,TOT,NBA,SF,77,2751,0.455,12.4,0.833,0.321,0.101,0.124,0.286,0.167,0.47,0.594,0.309,0.353,0.44,0.378,0.418,0.037,53,0.842,0.171,0.372,2,0
2010-11,26,DEN,NBA,SF,50,1774,0.452,11.7,0.87,0.353,0.098,0.116,0.303,0.13,0.47,0.566,0.326,0.366,0.444,0.333,0.441,0.044,41,0.929,0.167,0.333,1,0
2010-11,26,NYK,NBA,SF,27,977,0.461,13.8,0.767,0.265,0.106,0.14,0.256,0.233,0.472,0.662,0.281,0.333,0.431,0.424,0.371,0.022,12,0.774,0.176,0.409,1,0
2011-12,27,NYK,NBA,SF,55,1876,0.43,12.8,0.802,0.294,0.101,0.154,0.253,0.198,0.454,0.615,0.26,0.392,0.382,0.335,0.324,0.028,28,0.676,0.118,0.292,0,0
2012-13,28,NYK,NBA,PF,67,2482,0.449,14.3,0.722,0.262,0.074,0.159,0.227,0.278,0.476,0.556,0.364,0.447,0.441,0.379,0.279,0.022,31,0.764,0.123,0.294,5,0
2013-14,29,NYK,NBA,PF,77,2982,0.452,15.2,0.747,0.191,0.078,0.199,0.279,0.253,0.469,0.589,0.32,0.443,0.447,0.402,0.292,0.022,34,0.713,0.08,0.364,5,0
2014-15,30,NYK,NBA,SF,40,1428,0.444,14.4,0.778,0.221,0.089,0.184,0.284,0.222,0.474,0.584,0.417,0.412,0.445,0.341,0.38,0.02,15,0.787,0.089,0.625,1,0
2015-16,31,NYK,NBA,SF,72,2530,0.434,14,0.763,0.213,0.087,0.208,0.255,0.237,0.463,0.54,0.404,0.423,0.453,0.339,0.273,0.018,19,0.743,0.103,0.375,1,0
2016-17,32,NYK,NBA,SF,74,2538,0.433,16.6,0.697,0.127,0.076,0.211,0.284,0.303,0.466,0.563,0.419,0.437,0.457,0.359,0.313,0.011,12,0.762,0.109,0.435,7,0
2017-18,33,OKC,NBA,PF,78,2501,0.404,17.1,0.594,0.12,0.063,0.184,0.228,0.406,0.437,0.571,0.329,0.456,0.38,0.357,0.376,0.02,17,0.876,0.116,0.327,0,0
2018-19,34,HOU,NBA,PF,10,294,0.405,18.5,0.471,0.149,0.066,0.124,0.132,0.529,0.491,0.611,0.5,0.467,0.375,0.328,0.429,0.017,2,0.905,0.047,0.333,0,0
2019-20,35,POR,NBA,PF,50,1623,0.426,14.5,0.714,0.197,0.1,0.227,0.19,0.286,0.447,0.537,0.441,0.422,0.388,0.371,0.396,0.032,15,0.931,0.186,0.528,1,0
Career,,,NBA,,1114,39752,0.448,12.8,0.804,0.305,0.081,0.144,0.275,0.196,0.472,0.59,0.342,0.404,0.416,0.348,0.438,0.051,1003,0.805,0.117,0.363,45,0
